epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1570470642166,2019-10-07T13.50.42.166,0.000,0.381,-0.412,0.625
1570470642186,2019-10-07T13.50.42.186,0.020,0.595,-0.183,-0.244
1570470642206,2019-10-07T13.50.42.206,0.040,0.427,-0.061,0.107
1570470642226,2019-10-07T13.50.42.226,0.060,0.503,0.213,0.244
1570470642246,2019-10-07T13.50.42.246,0.080,0.595,0.000,0.122
1570470642266,2019-10-07T13.50.42.266,0.100,0.579,-1.067,0.091
1570470642286,2019-10-07T13.50.42.286,0.120,0.686,-0.976,0.137
1570470642306,2019-10-07T13.50.42.306,0.140,0.869,-0.473,0.107
1570470642326,2019-10-07T13.50.42.326,0.160,0.671,-0.899,0.107
1570470642346,2019-10-07T13.50.42.346,0.180,0.625,-0.396,0.168
1570470642366,2019-10-07T13.50.42.366,0.200,0.625,-0.061,0.183
1570470642386,2019-10-07T13.50.42.386,0.220,0.610,-0.351,0.152
1570470642406,2019-10-07T13.50.42.406,0.240,0.671,-0.595,0.183
1570470642426,2019-10-07T13.50.42.426,0.260,0.640,-0.457,0.244
1570470642446,2019-10-07T13.50.42.446,0.280,0.503,-0.076,0.244
1570470642466,2019-10-07T13.50.42.466,0.300,0.549,0.640,0.290
1570470642486,2019-10-07T13.50.42.486,0.320,0.640,0.960,0.015
1570470642506,2019-10-07T13.50.42.506,0.340,0.595,-1.585,-0.305
1570470642526,2019-10-07T13.50.42.526,0.360,0.640,-1.433,-0.366
1570470642546,2019-10-07T13.50.42.546,0.380,0.686,-0.213,-0.366
1570470642566,2019-10-07T13.50.42.566,0.400,0.777,-1.387,-0.488
1570470642586,2019-10-07T13.50.42.586,0.420,0.884,-2.058,-0.595
1570470642606,2019-10-07T13.50.42.606,0.440,0.823,-0.899,-0.427
1570470642626,2019-10-07T13.50.42.626,0.460,0.762,-0.396,-0.320
1570470642646,2019-10-07T13.50.42.646,0.480,0.473,-0.640,-0.290
1570470642666,2019-10-07T13.50.42.666,0.500,0.381,-0.076,-0.213
1570470642686,2019-10-07T13.50.42.686,0.520,0.335,1.006,-0.152
1570470642706,2019-10-07T13.50.42.706,0.540,0.473,0.625,-0.198
1570470642726,2019-10-07T13.50.42.726,0.560,0.701,-0.137,-0.290
1570470642746,2019-10-07T13.50.42.746,0.580,0.701,-0.290,-0.274
1570470642766,2019-10-07T13.50.42.766,0.600,0.595,0.259,-0.290
1570470642786,2019-10-07T13.50.42.786,0.620,0.488,0.595,-0.427
1570470642806,2019-10-07T13.50.42.806,0.640,0.625,-0.381,-0.579
1570470642826,2019-10-07T13.50.42.826,0.660,0.732,-0.534,-0.701
1570470642846,2019-10-07T13.50.42.846,0.680,0.747,-0.198,-0.701
1570470642866,2019-10-07T13.50.42.866,0.700,0.610,-1.067,-0.793
1570470642886,2019-10-07T13.50.42.886,0.720,0.534,-1.585,-0.762
1570470642906,2019-10-07T13.50.42.906,0.740,0.579,-0.915,-0.625
1570470642926,2019-10-07T13.50.42.926,0.760,0.701,-1.067,-0.625
1570470642946,2019-10-07T13.50.42.946,0.780,0.503,-0.640,-0.503
1570470642966,2019-10-07T13.50.42.966,0.800,0.366,0.412,-0.427
1570470642986,2019-10-07T13.50.42.986,0.820,0.335,0.091,-0.473
1570470643006,2019-10-07T13.50.43.006,0.840,0.305,-0.213,-0.518
1570470643026,2019-10-07T13.50.43.026,0.860,0.427,-0.122,-0.564
1570470643046,2019-10-07T13.50.43.046,0.880,0.549,-0.107,-0.534
1570470643066,2019-10-07T13.50.43.066,0.900,0.488,0.244,-0.457
1570470643086,2019-10-07T13.50.43.086,0.920,0.595,0.838,-0.442
1570470643106,2019-10-07T13.50.43.106,0.940,0.777,0.747,-0.579
1570470643126,2019-10-07T13.50.43.126,0.960,0.930,-0.793,-0.762
1570470643146,2019-10-07T13.50.43.146,0.980,0.915,-0.991,-0.793
1570470643166,2019-10-07T13.50.43.166,1.000,0.823,-0.183,-0.762
1570470643186,2019-10-07T13.50.43.186,1.020,0.960,-0.808,-0.793
1570470643206,2019-10-07T13.50.43.206,1.040,1.021,-1.860,-0.823
1570470643226,2019-10-07T13.50.43.226,1.060,1.052,-0.595,-0.655
1570470643246,2019-10-07T13.50.43.246,1.080,1.265,0.351,-0.518
1570470643266,2019-10-07T13.50.43.266,1.100,1.082,-0.473,-0.473
1570470643286,2019-10-07T13.50.43.286,1.120,0.732,-0.198,-0.366
1570470643306,2019-10-07T13.50.43.306,1.140,0.640,1.265,-0.183
1570470643326,2019-10-07T13.50.43.326,1.160,0.716,0.915,-0.229
1570470643346,2019-10-07T13.50.43.346,1.180,0.671,-0.579,-0.320
1570470643366,2019-10-07T13.50.43.366,1.200,0.610,0.107,-0.183
1570470643386,2019-10-07T13.50.43.386,1.220,0.686,0.777,-0.305
1570470643406,2019-10-07T13.50.43.406,1.240,0.854,0.015,-0.488
1570470643426,2019-10-07T13.50.43.426,1.260,1.311,-2.012,-0.930
1570470643446,2019-10-07T13.50.43.446,1.280,1.601,-2.546,-0.899
1570470643466,2019-10-07T13.50.43.466,1.300,1.738,-0.381,-0.838
1570470643486,2019-10-07T13.50.43.486,1.320,1.555,-0.549,-0.915
1570470643506,2019-10-07T13.50.43.506,1.340,1.357,-1.189,-0.854
1570470643526,2019-10-07T13.50.43.526,1.360,0.945,-0.793,-0.808
1570470643546,2019-10-07T13.50.43.546,1.380,0.473,0.854,-0.671
1570470643566,2019-10-07T13.50.43.566,1.400,0.396,0.320,-0.793
1570470643586,2019-10-07T13.50.43.586,1.420,0.396,-0.869,-0.823
1570470643606,2019-10-07T13.50.43.606,1.440,0.610,-1.052,-0.823
1570470643626,2019-10-07T13.50.43.626,1.460,0.762,-0.518,-0.625
1570470643646,2019-10-07T13.50.43.646,1.480,0.564,0.579,-0.549
1570470643666,2019-10-07T13.50.43.666,1.500,0.305,0.320,-0.503
1570470643686,2019-10-07T13.50.43.686,1.520,0.488,0.168,-0.427
1570470643706,2019-10-07T13.50.43.706,1.540,0.747,0.137,-0.351
1570470643726,2019-10-07T13.50.43.726,1.560,0.732,-1.037,-0.366
1570470643746,2019-10-07T13.50.43.746,1.580,0.640,-0.549,-0.198
1570470643766,2019-10-07T13.50.43.766,1.600,0.671,0.061,-0.229
1570470643786,2019-10-07T13.50.43.786,1.620,0.777,-1.067,-0.305
1570470643806,2019-10-07T13.50.43.806,1.640,0.716,-1.082,-0.259
1570470643826,2019-10-07T13.50.43.826,1.660,0.701,-0.869,-0.030
